date,year,month,month_name,admin1,governorate,gov_pcode,event_type,events,fatalities
2018-05-01,2018,5,May,West Bank,Tubas,PS0105,political_violence,1,0
2018-06-01,2018,6,June,West Bank,Jenin,PS0101,political_violence,9,0
2018-06-01,2018,6,June,West Bank,Jericho,PS0135,political_violence,1,0
2018-06-01,2018,6,June,West Bank,Qalqilya,PS0120,political_violence,13,0
2018-06-01,2018,6,June,West Bank,Salfit,PS0125,political_violence,2,0
2018-06-01,2018,6,June,West Bank,Nablus,PS0115,political_violence,33,0
2018-06-01,2018,6,June,West Bank,Ramallah and Al Bireh,PS0130,political_violence,30,0
2018-06-01,2018,6,June,West Bank,Bethlehem,PS0145,political_violence,21,0
2018-06-01,2018,6,June,West Bank,Al Quds,PS0140,political_violence,27,0
2018-06-01,2018,6,June,West Bank,Hebron,PS0150,political_violence,39,2
2018-06-01,2018,6,June,West Bank,Tulkarm,PS0110,political_violence,6,0
2018-06-01,2018,6,June,West Bank,Tubas,PS0105,political_violence,1,0
2018-07-01,2018,7,July,West Bank,Jenin,PS0101,political_violence,6,0
2018-07-01,2018,7,July,West Bank,Jericho,PS0135,political_violence,0,0
2018-07-01,2018,7,July,West Bank,Qalqilya,PS0120,political_violence,9,0
2018-07-01,2018,7,July,West Bank,Salfit,PS0125,political_violence,2,0
2018-07-01,2018,7,July,West Bank,Nablus,PS0115,political_violence,26,0
2018-07-01,2018,7,July,West Bank,Ramallah and Al Bireh,PS0130,political_violence,35,0
2018-07-01,2018,7,July,West Bank,Bethlehem,PS0145,political_violence,11,1
2018-07-01,2018,7,July,West Bank,Al Quds,PS0140,political_violence,30,2
2018-07-01,2018,7,July,West Bank,Hebron,PS0150,political_violence,28,0
2018-07-01,2018,7,July,West Bank,Tulkarm,PS0110,political_violence,3,0
2018-07-01,2018,7,July,West Bank,Tubas,PS0105,political_violence,1,0
2018-08-01,2018,8,August,West Bank,Jenin,PS0101,political_violence,14,0
2018-08-01,2018,8,August,West Bank,Jericho,PS0135,political_violence,3,0
2018-08-01,2018,8,August,West Bank,Qalqilya,PS0120,political_violence,7,0
2018-08-01,2018,8,August,West Bank,Salfit,PS0125,political_violence,10,0
2018-08-01,2018,8,August,West Bank,Nablus,PS0115,political_violence,42,0
